Shoutouts to SkyDoesMinecraft | Lmao
2011 | In Heaven
3D Shareware | Coming Soon
Love to Jeb | Swedish
Ultimate Block Placing | Probably
Dope ass game | Child
In loving Memory of | Notch
Breakin' | Forever
Placin' | Forever
Herobrine | Rest In Peace lol
Rate Five Stars | Pls No One Star
Block Gaming | Ultimate
Bestseller | Forever
You Already Know | We Playin' Bed Wars
Rise and Grind | Love to Lady Agnes
Like Terraria | But Cooler
Game of The Year | Notch
Free Dream | With Love to BadBoyHalo
Better Than Infiniminer | Fight Me Zach
Steve For President | Vote Now
Play Terraria | On Steam
This is a 5 Year Old Version | we playin' on it okay
Alex s Real | This is Unofficial
Too Big | Money Can't Handle Us
Alex | Biggest Inspiration
Too Many People | My Head Hurts
Mojang | Forever
Refined Taste in Gaming | If I Say so Myself
His Name Isn't Clay | Dumb BadBoyHalo
His Name Isn't Clay | Silly Sapnap
Stream C418 | On Spotify
Never Forget to | Summon Herobrine
Don't Play Fortnite | Only Placin'
Good Bye | My Penis
Infiniminer | Biggest Inspiration
5 Year Old Version | Here it is
Yooooooooooo | Yooooooooo
Big Ol' Bunny | Big Ol' Bunny
Updates Each Year | On Time Every Time
Shoutouts to Link | Yes, The Dog
Please | Get in The Discord Call
